Name,Address,Lat,Lng
FAO Schwarz,"30 Rockefeller Plaza, New York, NY 10111, United States",40.758761,-73.979345
"Toys ""Я"" Us at Macy's","7th floor, 151 W 34th St., New York, NY 10001, United States",40.7508631,-73.98906339999999
Mary Arnold Toys,"1178 Lexington Ave, New York, NY 10028, United States",40.7760481,-73.9582944
Disney Store,"1540 Broadway, New York, NY 10036, United States",40.7582524,-73.9850513
PIQ Rockefeller Center,"74 W 50th St, New York, NY 10112, United States",40.7595915,-73.98009859999999
Learning Express Toys,"1071 3rd Ave, New York, NY 10065, United States",40.7640903,-73.9645341
Kidding Around,"60 W 15th St, New York, NY 10011, United States",40.737661,-73.996004
West Side Kids,"201 W 84th St, New York, NY 10024, United States",40.786612,-73.976197
Toy Tokyo,"91 2nd Ave, New York, NY 10003, United States",40.72708009999999,-73.9890052
Line Friends New York Times Square Store,"1515 Broadway, New York, NY 10036, United States",40.7578341,-73.9858859
Stationery and Toy World,"125 W 72nd St, New York, NY 10023, United States",40.7779989,-73.9795944
Tamashii Nations Store New York,"1500 Broadway Floor 1, New York, NY 10036, United States",40.7565851,-73.98572999999999
the tiny toy company and foundation llc,"Times Sq, New York, NY 10002, United States",40.7604863,-73.98372060000001
The LEGO® Store Fifth Avenue,"636 5th Ave, New York, NY 10020, United States",40.7591338,-73.9771693
HomBomToys,"1470 1st Ave, New York, NY 10075, United States",40.7706397,-73.9536444
PIQ,"20 Hudson Yards 2nd Floor, New York, NY 10001, United States",40.7534071,-74.00054109999999
Tenacious Toys,"1483 York Ave #20413, New York, NY 10021, United States",40.7711613,-73.9508646
Zittles,"969 Madison Ave, New York, NY 10021, United States",40.7741821,-73.963499
Build-A-Bear Workshop - FAO Schwarz,"45 Rockefeller Plaza, New York, NY 10112, United States",40.7587479,-73.9791656
Grandma's Place,"84 W 120th St, New York, NY 10027, United States",40.8043029,-73.9474022
Playing Mantis,"32 N Moore St, New York, NY 10013, United States",40.7197395,-74.0075705
Five Below,"530 5th Ave, New York, NY 10036, United States",40.7551301,-73.979913
Barnes & Noble,"555 5th Ave, New York, NY 10017, United States",40.7557401,-73.9789364
Retro Kingdom,"424 W 54th St, New York, NY 10019, United States",40.7663263,-73.9883924
Boomerang Toys,"119 W Broadway, New York, NY 10013, United States",40.7162672,-74.00836819999999
POP MART,"C1, LL2315, 185 Greenwich St, New York, NY 10007, United States",40.7115663,-74.0114261
Red Caboose,"23 W 45th St # B, New York, NY 10036, United States",40.7559999,-73.98059359999999
Tees and Toys,"Opp. JD STORE, 6 Times Sq On the corner of Broadway and, W 42nd St, New York, NY 10036, United States",40.7556853,-73.9864262
Tommy's Figz,"Turnstyle Underground Market 1000, 8th Ave, New York, NY 10019, United States",40.7670675,-73.9828916
Greenpoint Toys,"738 Manhattan Ave, Brooklyn, NY 11222, United States",40.7264016,-73.95214039999999
Target,"1863 Broadway, New York, NY 10023, United States",40.7702294,-73.9824884
Promises Fulfilled,"1592 2nd Ave, New York, NY 10028, United States",40.7755683,-73.95322639999999
Midtown Comics Times Square,"200 W 40th St, New York, NY 10018, United States",40.7548485,-73.9883862
two kids and a dog,"Grand Central Terminal, 89 E 42nd St, Lexington Ave, New York, NY 10017, United States",40.7527556,-73.97728
Lot Stop Department,"450 7th Ave, New York, NY 10123, United States",40.75136090000001,-73.9905976
Grand Slam New York,"1557 Broadway, New York, NY 10036, United States",40.7591507,-73.9853806
BOOKOFF New York,"49 W 45th St, New York, NY 10036, United States",40.7563589,-73.9814346
The Pleasure Chest,"810 Lexington Ave, New York, NY 10065, United States",40.7644181,-73.9668179
an.mé /ahn-may/,"328 E 9th St, New York, NY 10003, United States",40.7286362,-73.98619839999999
Miyooou,"8th floor, 151 W 34th St., New York, NY 10001, United States",40.7508631,-73.98906339999999
American Girl Place New York,"75 Rockefeller Plaza Floor 1, New York, NY 10019, United States",40.7599932,-73.9778027
Two Kids and a Dog,"275 Greenwich St, New York, NY 10007, United States",40.7151719,-74.0109679
GNight Fetcher,"3rd Ave &, E 54th St, New York, NY 10022, United States",40.7585034,-73.9688376
Target,"150 East 86th St, New York, NY 10028, United States",40.7791083,-73.9550915
an.mé /ahn-may/,"249 Bleecker St, New York, NY 10014, United States",40.7309732,-74.0027423
Target,"1201 3rd Ave, New York, NY 10021, United States",40.768116,-73.96144919999999
Little Things Toy Store,"159 7th Ave, Brooklyn, NY 11215, United States",40.672305,-73.97674719999999
E.A.T. Gifts,"1062 Madison Ave, New York, NY 10028, United States",40.7772496,-73.9616367
Target,"112 W 34th St., New York, NY 10120, United States",40.7501207,-73.9889452
Barnes & Noble,"2289 Broadway, New York, NY 10024, United States",40.7862392,-73.9787281
Little Moony,"230 Mulberry St, New York, NY 10012, United States",40.7224848,-73.9959487
Target,"237 W 42nd St, New York, NY 10036, United States",40.7568781,-73.9884067
The LEGO® Store Flatiron District,"200 5th Ave, New York, NY 10010, United States",40.7419788,-73.98989019999999
